id_departamento,departamento,id_municipio,municipio,id_localidad,localidad,anio_servicio,mes_servicio,energia_activa,energia_reactiva,potencia_maxima,dia_demanda_max,fecha_demanda_max,promedio_horas,municipio_original
91,amazonas,91001,leticia,91001000,leticia (leticia - amazonas),2020,1,3930642,1251191,7768.76,lunes,2020-01-27 14:15:00,24.0,leticia
91,amazonas,91540,puerto nariño,91540000,puerto nariño (puerto nariño - amazonas),2020,1,103897,36304,227.04,miércoles,2020-01-22 19:15:00,24.0,puerto nariño
91,amazonas,91798,tarapacá (anm),91798000,tarapacá (tarapacá (anm) - amazonas),2020,1,22864,9277,88.96,jueves,2020-01-30 19:30:00,10.19,tarapacá (anm)
05,antioquia,05873,vigía del fuerte,05873001,san antonio de padua (vigía del fuerte - antioquia),2020,1,5617,1381,53.66,jueves,2020-01-23 19:45:00,4.13,vigía del fuerte
05,antioquia,05873,vigía del fuerte,05873002,vegáez (vigía del fuerte - antioquia),2020,1,2217,539,39.07,miércoles,2020-01-29 19:45:00,3.17,vigía del fuerte
05,antioquia,05873,vigía del fuerte,05873000,vigía del fuerte (vigía del fuerte - antioquia),2020,1,64137,28058,324.19,jueves,2020-01-23 21:45:00,8.11,vigía del fuerte
88,"archipiélago de san andrés, providencia y santa catalina",88564,providencia,88564000,providencia (providencia - archipiélago de san andrés y providencia),2020,1,982117,337077,1671.09,viernes,2020-01-03 19:30:00,24.0,providencia
88,"archipiélago de san andrés, providencia y santa catalina",88001,san andrés,88001000,san andrés (san andrés - archipiélago de san andrés y providencia),2020,1,16666323,4824581,28619.27,viernes,2020-01-03 15:45:00,24.0,san andrés
13,bolívar,13001,cartagena de indias,13001007,isla fuerte (cartagena de indias - bolívar),2020,1,16797,8887,135.85,sábado,2020-01-04 15:30:00,5.26,cartagena de indias
13,bolívar,13001,cartagena de indias,13001037,isla múcura (cartagena de indias - bolívar),2020,1,10188,4396,31.44,sábado,2020-01-04 21:45:00,14.6,cartagena de indias
13,bolívar,13001,cartagena de indias,13001017,santa cruz del islote (cartagena de indias - bolívar),2020,1,13187,4523,50.18,sábado,2020-01-11 22:15:00,12.23,cartagena de indias
18,caquetá,18150,cartagena del chairá,18150001,remolino del caguán (cartagena del chaira - caquetá),2020,1,15966,7544,87.13,sábado,2020-01-25 18:45:00,8.06,cartagena del chairá
18,caquetá,18753,san vicente del caguán,18753002,guacamayas (san vicente del caguán - caquetá),2020,1,12554,6147,39.26,viernes,2020-01-03 19:30:00,18.26,san vicente del caguán
85,casanare,85430,trinidad,85430001,bocas del pauto (trinidad - casanare),2020,1,13100,7330,107.65,jueves,2020-01-30 19:00:00,5.56,trinidad
19,cauca,19418,lópez (micay),19418011,dos quebradas río naya (lópez de micay - cauca),2020,1,2090,537,45.25,sábado,2020-01-04 18:45:00,1.47,lópez de micay
19,cauca,19418,lópez (micay),19418038,isla de gallo (lópez de micay - cauca),2020,1,2545,788,26.94,viernes,2020-01-10 18:45:00,3.54,lópez de micay
19,cauca,19418,lópez (micay),19418009,noanamito (lópez de micay - cauca),2020,1,4271,2127,32.0,viernes,2020-01-31 20:45:00,5.56,lópez de micay
19,cauca,19418,lópez (micay),19418012,san antonio de chuaré (lópez de micay - cauca),2020,1,6552,1861,60.74,lunes,2020-01-27 19:15:00,4.39,lópez de micay
